feed_date,region,family,selected_count
2026-09-07,Merseyside - Liverpool,legal_assistant_paralegal,2
2026-09-07,Merseyside - Liverpool,marketing,9
2026-09-07,Merseyside - Liverpool,finance_accounts,3
2026-09-07,Merseyside - Liverpool,hr_recruitment,0
2026-09-07,Merseyside - Liverpool,customer_service_contact_centre,0
2026-09-07,Merseyside - Sefton,service_admin,0
2026-09-07,Merseyside - Sefton,support_worker,0
2026-09-07,Merseyside - Sefton,customer_sales,0
2026-09-07,Merseyside - Sefton,legal_assistant_paralegal,0
2026-09-07,Merseyside - Sefton,marketing,0
2026-09-07,Merseyside - Sefton,finance_accounts,0
2026-09-07,Merseyside - Sefton,hr_recruitment,0
2026-09-07,Merseyside - Sefton,customer_service_contact_centre,0
2026-09-07,Merseyside - St Helens & Knowsley,service_admin,1
2026-09-07,Merseyside - St Helens & Knowsley,support_worker,0
2026-09-07,Merseyside - St Helens & Knowsley,customer_sales,1
2026-09-07,Merseyside - St Helens & Knowsley,legal_assistant_paralegal,0
2026-09-07,Merseyside - St Helens & Knowsley,marketing,0
2026-09-07,Merseyside - St Helens & Knowsley,finance_accounts,0
2026-09-07,Merseyside - St Helens & Knowsley,hr_recruitment,0
2026-09-07,Merseyside - St Helens & Knowsley,customer_service_contact_centre,0
2026-09-07,Merseyside - Wirral,service_admin,1
2026-09-07,Merseyside - Wirral,support_worker,0
2026-09-07,Merseyside - Wirral,customer_sales,1
2026-09-07,Merseyside - Wirral,legal_assistant_paralegal,1
2026-09-07,Merseyside - Wirral,marketing,2
2026-09-07,Merseyside - Wirral,finance_accounts,1
2026-09-07,Merseyside - Wirral,hr_recruitment,0
2026-09-07,Merseyside - Wirral,customer_service_contact_centre,1
2026-09-07,Norfolk,service_admin,13
2026-09-07,Norfolk,support_worker,0
2026-09-07,Norfolk,customer_sales,1
2026-09-07,Norfolk,legal_assistant_paralegal,0
2026-09-07,Norfolk,marketing,0
2026-09-07,Norfolk,finance_accounts,1
2026-09-07,Norfolk,hr_recruitment,0
2026-09-07,Norfolk,customer_service_contact_centre,0
2026-09-07,North East,service_admin,66
2026-09-07,North East,support_worker,2
2026-09-07,North East,customer_sales,9
2026-09-07,North East,legal_assistant_paralegal,1
2026-09-07,North East,marketing,5
2026-09-07,North East,finance_accounts,0
2026-09-07,North East,hr_recruitment,1
2026-09-07,North East,customer_service_contact_centre,6
2026-09-07,North Scotland,service_admin,5
2026-09-07,North Scotland,support_worker,0
2026-09-07,North Scotland,customer_sales,6
2026-09-07,North Scotland,legal_assistant_paralegal,1
2026-09-07,North Scotland,marketing,0
2026-09-07,North Scotland,finance_accounts,1
2026-09-07,North Scotland,hr_recruitment,0
2026-09-07,North Scotland,customer_service_contact_centre,0
2026-09-07,North Wales - East,service_admin,3
2026-09-07,North Wales - East,support_worker,0
2026-09-07,North Wales - East,customer_sales,2
2026-09-07,North Wales - East,legal_assistant_paralegal,0
2026-09-07,North Wales - East,marketing,3
2026-09-07,North Wales - East,finance_accounts,2
2026-09-07,North Wales - East,hr_recruitment,0
2026-09-07,North Wales - East,customer_service_contact_centre,1
2026-09-07,North Wales - West,service_admin,4
2026-09-07,North Wales - West,support_worker,0
2026-09-07,North Wales - West,customer_sales,0
2026-09-07,North Wales - West,legal_assistant_paralegal,1
2026-09-07,North Wales - West,marketing,0
2026-09-07,North Wales - West,finance_accounts,0
2026-09-07,North Wales - West,hr_recruitment,1
2026-09-07,North Wales - West,customer_service_contact_centre,1
2026-09-07,Northamptonshire,service_admin,19
2026-09-07,Northamptonshire,support_worker,1
2026-09-07,Northamptonshire,customer_sales,9
2026-09-07,Northamptonshire,legal_assistant_paralegal,1
2026-09-07,Northamptonshire,marketing,3
2026-09-07,Northamptonshire,finance_accounts,1
2026-09-07,Northamptonshire,hr_recruitment,2
2026-09-07,Northamptonshire,customer_service_contact_centre,1
2026-09-07,Northern Ireland - East,service_admin,53
2026-09-07,Northern Ireland - East,support_worker,0
2026-09-07,Northern Ireland - East,customer_sales,0
2026-09-07,Northern Ireland - East,legal_assistant_paralegal,18
2026-09-07,Northern Ireland - East,marketing,4
2026-09-07,Northern Ireland - East,finance_accounts,11
2026-09-07,Northern Ireland - East,hr_recruitment,7
2026-09-07,Northern Ireland - East,customer_service_contact_centre,2
2026-09-07,Northern Ireland - West,service_admin,25
2026-09-07,Northern Ireland - West,support_worker,0
2026-09-07,Northern Ireland - West,customer_sales,3
2026-09-07,Northern Ireland - West,legal_assistant_paralegal,0
2026-09-07,Northern Ireland - West,marketing,1
2026-09-07,Northern Ireland - West,finance_accounts,1
2026-09-07,Northern Ireland - West,hr_recruitment,1
2026-09-07,Northern Ireland - West,customer_service_contact_centre,2
2026-09-07,Nottinghamshire,service_admin,21
2026-09-07,Nottinghamshire,support_worker,2
2026-09-07,Nottinghamshire,customer_sales,2
2026-09-07,Nottinghamshire,legal_assistant_paralegal,2
2026-09-07,Nottinghamshire,marketing,4
2026-09-07,Nottinghamshire,finance_accounts,1
2026-09-07,Nottinghamshire,hr_recruitment,3
2026-09-07,Nottinghamshire,customer_service_contact_centre,1
2026-09-07,Oxfordshire,service_admin,31
2026-09-07,Oxfordshire,support_worker,3
2026-09-07,Oxfordshire,customer_sales,5
2026-09-07,Oxfordshire,legal_assistant_paralegal,1
2026-09-07,Oxfordshire,marketing,6
2026-09-07,Oxfordshire,finance_accounts,0
2026-09-07,Oxfordshire,hr_recruitment,2
2026-09-07,Oxfordshire,customer_service_contact_centre,3
2026-09-07,Rutland,service_admin,0
2026-09-07,Rutland,support_worker,0
2026-09-07,Rutland,customer_sales,0
2026-09-07,Rutland,legal_assistant_paralegal,0
2026-09-07,Rutland,marketing,0
2026-09-07,Rutland,finance_accounts,0
2026-09-07,Rutland,hr_recruitment,0
2026-09-07,Rutland,customer_service_contact_centre,0
2026-09-07,Scotland - Borders,service_admin,2
2026-09-07,Scotland - Borders,support_worker,0
2026-09-07,Scotland - Borders,customer_sales,0
2026-09-07,Scotland - Borders,legal_assistant_paralegal,0
2026-09-07,Scotland - Borders,marketing,0
2026-09-07,Scotland - Borders,finance_accounts,0
2026-09-07,Scotland - Borders,hr_recruitment,0
2026-09-07,Scotland - Borders,customer_service_contact_centre,0
2026-09-07,Scotland Central - Edinburgh & Lothians,service_admin,14
2026-09-07,Scotland Central - Edinburgh & Lothians,support_worker,0
2026-09-07,Scotland Central - Edinburgh & Lothians,customer_sales,4
2026-09-07,Scotland Central - Edinburgh & Lothians,legal_assistant_paralegal,3
2026-09-07,Scotland Central - Edinburgh & Lothians,marketing,0
2026-09-07,Scotland Central - Edinburgh & Lothians,finance_accounts,1
2026-09-07,Scotland Central - Edinburgh & Lothians,hr_recruitment,1
2026-09-07,Scotland Central - Edinburgh & Lothians,customer_service_contact_centre,1
2026-09-07,Scotland Central - Falkirk & Stirling,service_admin,2
2026-09-07,Scotland Central - Falkirk & Stirling,support_worker,0
2026-09-07,Scotland Central - Falkirk & Stirling,customer_sales,0
2026-09-07,Scotland Central - Falkirk & Stirling,legal_assistant_paralegal,0
2026-09-07,Scotland Central - Falkirk & Stirling,marketing,0
2026-09-07,Scotland Central - Falkirk & Stirling,finance_accounts,0
2026-09-07,Scotland Central - Falkirk & Stirling,hr_recruitment,0
2026-09-07,Scotland Central - Falkirk & Stirling,customer_service_contact_centre,0
2026-09-07,Scotland Central - Fife,service_admin,2
2026-09-07,Scotland Central - Fife,support_worker,0
2026-09-07,Scotland Central - Fife,customer_sales,1
2026-09-07,Scotland Central - Fife,legal_assistant_paralegal,0
2026-09-07,Scotland Central - Fife,marketing,0
2026-09-07,Scotland Central - Fife,finance_accounts,0
2026-09-07,Scotland Central - Fife,hr_recruitment,0
2026-09-07,Scotland Central - Fife,customer_service_contact_centre,0
2026-09-07,Scotland Central - Tayside,service_admin,5
2026-09-07,Scotland Central - Tayside,support_worker,0
2026-09-07,Scotland Central - Tayside,customer_sales,0
2026-09-07,Scotland Central - Tayside,legal_assistant_paralegal,1
2026-09-07,Scotland Central - Tayside,marketing,0
2026-09-07,Scotland Central - Tayside,finance_accounts,0
2026-09-07,Scotland Central - Tayside,hr_recruitment,0
2026-09-07,Scotland Central - Tayside,customer_service_contact_centre,0
2026-09-07,Scotland West - Ayrshire,service_admin,1
2026-09-07,Scotland West - Ayrshire,support_worker,0
2026-09-07,Scotland West - Ayrshire,customer_sales,0
2026-09-07,Scotland West - Ayrshire,legal_assistant_paralegal,1
2026-09-07,Scotland West - Ayrshire,marketing,0
2026-09-07,Scotland West - Ayrshire,finance_accounts,0
2026-09-07,Scotland West - Ayrshire,hr_recruitment,0
2026-09-07,Scotland West - Ayrshire,customer_service_contact_centre,1
2026-09-07,Scotland West - Glasgow,service_admin,13
2026-09-07,Scotland West - Glasgow,support_worker,0
2026-09-07,Scotland West - Glasgow,customer_sales,4
2026-09-07,Scotland West - Glasgow,legal_assistant_paralegal,1
2026-09-07,Scotland West - Glasgow,marketing,0
2026-09-07,Scotland West - Glasgow,finance_accounts,0
2026-09-07,Scotland West - Glasgow,hr_recruitment,0
2026-09-07,Scotland West - Glasgow,customer_service_contact_centre,1
2026-09-07,Scotland West - Lanarkshire,service_admin,0
