date,job_id,title,company,raw_area,raw_location,geo_source,category,source_file,unknown_reason
2026-07-25,616fb005-f528-40c1-9b4b-693762fe0eda,Senior Administrator,Reed,Dartmouth,Devon,unknown,admin_service,2026-07-25.xlsx,area_not_found_in_geo_lookup
2026-07-25,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-25.xlsx,area_not_found_in_geo_lookup
2026-07-25,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-25.xlsx,area_not_found_in_geo_lookup
2026-07-25,6b682222-60bb-42a2-8c5d-c6ca49d0735e,Administration Assistant,Future Engineering Recruitment Ltd,Not Specified,Lanarkshire,unknown,admin_service,2026-07-25.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-25,1573016,Finance Administrator,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-07-25.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-25,b2b53db0-d99e-45e6-8029-10bd318fcd8f,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-25.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-25,1551368,Receptionist,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-07-25.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-25,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-25.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-25,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-25.xlsx,area_not_found_in_geo_lookup
2026-07-26,639288c3-22b4-4a2f-a718-686b1e45db84,Sales Support Administrator,YourRecruit,Coulsdon,Surrey,unknown,admin_service,2026-07-26.xlsx,area_not_found_in_geo_lookup
2026-07-26,616fb005-f528-40c1-9b4b-693762fe0eda,Senior Administrator,Reed,Dartmouth,Devon,unknown,admin_service,2026-07-26.xlsx,area_not_found_in_geo_lookup
2026-07-26,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-26.xlsx,area_not_found_in_geo_lookup
2026-07-26,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-26.xlsx,area_not_found_in_geo_lookup
2026-07-26,6b682222-60bb-42a2-8c5d-c6ca49d0735e,Administration Assistant,Future Engineering Recruitment Ltd,Not Specified,Lanarkshire,unknown,admin_service,2026-07-26.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-26,1573016,Finance Administrator,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-07-26.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-26,1551368,Receptionist,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-07-26.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-26,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-26.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-26,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-26.xlsx,area_not_found_in_geo_lookup
2026-07-27,639288c3-22b4-4a2f-a718-686b1e45db84,Sales Support Administrator,YourRecruit,Coulsdon,Surrey,unknown,admin_service,2026-07-27.xlsx,area_not_found_in_geo_lookup
2026-07-27,616fb005-f528-40c1-9b4b-693762fe0eda,Senior Administrator,Reed,Dartmouth,Devon,unknown,admin_service,2026-07-27.xlsx,area_not_found_in_geo_lookup
2026-07-27,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-27.xlsx,area_not_found_in_geo_lookup
2026-07-27,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-27.xlsx,area_not_found_in_geo_lookup
2026-07-27,a8194cdb-67de-467f-a91e-2d11796cc06c,Administrator,Pertemps Plymouth Commercial,Looe,Cornwall,unknown,admin_service,2026-07-27.xlsx,area_not_found_in_geo_lookup
2026-07-27,6b682222-60bb-42a2-8c5d-c6ca49d0735e,Administration Assistant,Future Engineering Recruitment Ltd,Not Specified,Lanarkshire,unknown,admin_service,2026-07-27.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-27,1573016,Finance Administrator,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-07-27.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-27,1551368,Receptionist,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-07-27.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-27,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-27.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-27,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-27.xlsx,area_not_found_in_geo_lookup
2026-07-28,5147b38b-5c8c-4ae3-b9e9-0ca76544741b,Site Administrator,Pontoon,Aberfeldy,Perthshire,unknown,admin_service,2026-07-28.xlsx,area_not_found_in_geo_lookup
2026-07-28,616fb005-f528-40c1-9b4b-693762fe0eda,Senior Administrator,Reed,Dartmouth,Devon,unknown,admin_service,2026-07-28.xlsx,area_not_found_in_geo_lookup
2026-07-28,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-28.xlsx,area_not_found_in_geo_lookup
2026-07-28,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-28.xlsx,area_not_found_in_geo_lookup
2026-07-28,a8194cdb-67de-467f-a91e-2d11796cc06c,Administrator,Pertemps Plymouth Commercial,Looe,Cornwall,unknown,admin_service,2026-07-28.xlsx,area_not_found_in_geo_lookup
2026-07-28,1573016,Finance Administrator,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-07-28.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-28,1551368,Receptionist,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-07-28.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-28,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-28.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-28,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-28.xlsx,area_not_found_in_geo_lookup
2026-07-29,5147b38b-5c8c-4ae3-b9e9-0ca76544741b,Site Administrator,Pontoon,Aberfeldy,Perthshire,unknown,admin_service,2026-07-29.xlsx,area_not_found_in_geo_lookup
2026-07-29,616fb005-f528-40c1-9b4b-693762fe0eda,Senior Administrator,Reed,Dartmouth,Devon,unknown,admin_service,2026-07-29.xlsx,area_not_found_in_geo_lookup
2026-07-29,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-29.xlsx,area_not_found_in_geo_lookup
2026-07-29,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-29.xlsx,area_not_found_in_geo_lookup
2026-07-29,a8194cdb-67de-467f-a91e-2d11796cc06c,Administrator,Pertemps Plymouth Commercial,Looe,Cornwall,unknown,admin_service,2026-07-29.xlsx,area_not_found_in_geo_lookup
2026-07-29,1573016,Finance Administrator,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-07-29.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-29,1551368,Receptionist,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-07-29.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-29,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-29.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-29,1599044,Senior Administrator,Victim Support,Not Specified,Not Specified,unknown,admin_service,2026-07-29.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-29,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-29.xlsx,area_not_found_in_geo_lookup
2026-07-29,6996d07d-dfa8-4872-ab3c-d675c2a4932e,Financial Services Administrator,AWD online,Yateley,Hampshire,unknown,admin_service,2026-07-29.xlsx,area_not_found_in_geo_lookup
