month,date,region,region_scope,category,daily_job_count
2026-08-post-expansion,2026-08-16,Merseyside - Liverpool,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-17,Merseyside - Liverpool,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-11,Merseyside - Wirral,lookup_region,admin_service,0
2026-08-post-expansion,2026-08-12,Merseyside - Wirral,lookup_region,admin_service,0
2026-08-post-expansion,2026-08-14,Merseyside - Wirral,lookup_region,admin_service,0
2026-08-post-expansion,2026-08-15,Merseyside - Wirral,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-16,Merseyside - Wirral,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-17,Merseyside - Wirral,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-11,Norfolk,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-12,Norfolk,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-14,Norfolk,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-15,Norfolk,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-16,Norfolk,lookup_region,admin_service,8
2026-08-post-expansion,2026-08-17,Norfolk,lookup_region,admin_service,8
2026-08-post-expansion,2026-08-11,North East,published_aggregate,admin_service,12
2026-08-post-expansion,2026-08-12,North East,published_aggregate,admin_service,14
2026-08-post-expansion,2026-08-14,North East,published_aggregate,admin_service,12
2026-08-post-expansion,2026-08-15,North East,published_aggregate,admin_service,14
2026-08-post-expansion,2026-08-16,North East,published_aggregate,admin_service,14
2026-08-post-expansion,2026-08-17,North East,published_aggregate,admin_service,14
2026-08-post-expansion,2026-08-11,North East - County Durham & Darlington/Hartlepool,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-12,North East - County Durham & Darlington/Hartlepool,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-14,North East - County Durham & Darlington/Hartlepool,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-15,North East - County Durham & Darlington/Hartlepool,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-16,North East - County Durham & Darlington/Hartlepool,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-17,North East - County Durham & Darlington/Hartlepool,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-11,"North East - Tyneside, Wearside & Northumberland",lookup_region,admin_service,9
2026-08-post-expansion,2026-08-12,"North East - Tyneside, Wearside & Northumberland",lookup_region,admin_service,10
2026-08-post-expansion,2026-08-14,"North East - Tyneside, Wearside & Northumberland",lookup_region,admin_service,7
2026-08-post-expansion,2026-08-15,"North East - Tyneside, Wearside & Northumberland",lookup_region,admin_service,8
2026-08-post-expansion,2026-08-16,"North East - Tyneside, Wearside & Northumberland",lookup_region,admin_service,8
2026-08-post-expansion,2026-08-17,"North East - Tyneside, Wearside & Northumberland",lookup_region,admin_service,8
2026-08-post-expansion,2026-08-11,North Scotland,lookup_region,admin_service,0
2026-08-post-expansion,2026-08-12,North Scotland,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-14,North Scotland,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,North Scotland,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-16,North Scotland,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-17,North Scotland,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-11,North Wales - East,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-12,North Wales - East,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-14,North Wales - East,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-15,North Wales - East,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-16,North Wales - East,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-17,North Wales - East,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-11,Northamptonshire,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-12,Northamptonshire,lookup_region,admin_service,8
2026-08-post-expansion,2026-08-14,Northamptonshire,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-15,Northamptonshire,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-16,Northamptonshire,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-17,Northamptonshire,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-11,Northern Ireland - East,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-12,Northern Ireland - East,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-14,Northern Ireland - East,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-15,Northern Ireland - East,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-16,Northern Ireland - East,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-17,Northern Ireland - East,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-11,Northern Ireland - West,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-12,Northern Ireland - West,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-14,Northern Ireland - West,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-15,Northern Ireland - West,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-16,Northern Ireland - West,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-17,Northern Ireland - West,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-11,Nottinghamshire,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-12,Nottinghamshire,lookup_region,admin_service,8
2026-08-post-expansion,2026-08-14,Nottinghamshire,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-15,Nottinghamshire,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-16,Nottinghamshire,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-17,Nottinghamshire,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-11,Other / Unknown,lookup_region,admin_service,96
2026-08-post-expansion,2026-08-12,Other / Unknown,lookup_region,admin_service,101
2026-08-post-expansion,2026-08-14,Other / Unknown,lookup_region,admin_service,105
2026-08-post-expansion,2026-08-15,Other / Unknown,lookup_region,admin_service,105
2026-08-post-expansion,2026-08-16,Other / Unknown,lookup_region,admin_service,109
2026-08-post-expansion,2026-08-17,Other / Unknown,lookup_region,admin_service,107
2026-08-post-expansion,2026-08-11,Oxfordshire,lookup_region,admin_service,16
2026-08-post-expansion,2026-08-12,Oxfordshire,lookup_region,admin_service,16
2026-08-post-expansion,2026-08-14,Oxfordshire,lookup_region,admin_service,17
2026-08-post-expansion,2026-08-15,Oxfordshire,lookup_region,admin_service,16
2026-08-post-expansion,2026-08-16,Oxfordshire,lookup_region,admin_service,16
2026-08-post-expansion,2026-08-17,Oxfordshire,lookup_region,admin_service,17
2026-08-post-expansion,2026-08-11,Scotland Central - Edinburgh & Lothians,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-12,Scotland Central - Edinburgh & Lothians,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-14,Scotland Central - Edinburgh & Lothians,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-15,Scotland Central - Edinburgh & Lothians,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-16,Scotland Central - Edinburgh & Lothians,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-17,Scotland Central - Edinburgh & Lothians,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-11,Scotland Central - Falkirk & Stirling,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-12,Scotland Central - Falkirk & Stirling,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-14,Scotland Central - Falkirk & Stirling,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,Scotland Central - Falkirk & Stirling,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-16,Scotland Central - Falkirk & Stirling,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-17,Scotland Central - Falkirk & Stirling,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-11,Scotland Central - Tayside,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-12,Scotland Central - Tayside,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-14,Scotland Central - Tayside,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-15,Scotland Central - Tayside,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-16,Scotland Central - Tayside,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-17,Scotland Central - Tayside,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-11,Scotland West - Glasgow,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-12,Scotland West - Glasgow,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-14,Scotland West - Glasgow,lookup_region,admin_service,0
2026-08-post-expansion,2026-08-15,Scotland West - Glasgow,lookup_region,admin_service,0
2026-08-post-expansion,2026-08-16,Scotland West - Glasgow,lookup_region,admin_service,0
2026-08-post-expansion,2026-08-17,Scotland West - Glasgow,lookup_region,admin_service,0
2026-08-post-expansion,2026-08-11,Scotland West - Lanarkshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-12,Scotland West - Lanarkshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-14,Scotland West - Lanarkshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,Scotland West - Lanarkshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-16,Scotland West - Lanarkshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-17,Scotland West - Lanarkshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-11,Shropshire,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-12,Shropshire,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-14,Shropshire,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-15,Shropshire,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-16,Shropshire,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-17,Shropshire,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-11,Somerset,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-12,Somerset,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-14,Somerset,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,Somerset,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-16,Somerset,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-17,Somerset,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-11,Staffordshire,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-12,Staffordshire,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-14,Staffordshire,lookup_region,admin_service,8
2026-08-post-expansion,2026-08-15,Staffordshire,lookup_region,admin_service,8
2026-08-post-expansion,2026-08-16,Staffordshire,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-17,Staffordshire,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-11,Suffolk,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-12,Suffolk,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-14,Suffolk,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-15,Suffolk,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-16,Suffolk,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-17,Suffolk,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-11,Surrey,lookup_region,admin_service,21
2026-08-post-expansion,2026-08-12,Surrey,lookup_region,admin_service,22
2026-08-post-expansion,2026-08-14,Surrey,lookup_region,admin_service,21
2026-08-post-expansion,2026-08-15,Surrey,lookup_region,admin_service,20
2026-08-post-expansion,2026-08-16,Surrey,lookup_region,admin_service,21
2026-08-post-expansion,2026-08-17,Surrey,lookup_region,admin_service,22
2026-08-post-expansion,2026-08-11,Sussex,lookup_region,admin_service,20
2026-08-post-expansion,2026-08-12,Sussex,lookup_region,admin_service,23
2026-08-post-expansion,2026-08-14,Sussex,lookup_region,admin_service,17
2026-08-post-expansion,2026-08-15,Sussex,lookup_region,admin_service,14
2026-08-post-expansion,2026-08-16,Sussex,lookup_region,admin_service,14
2026-08-post-expansion,2026-08-17,Sussex,lookup_region,admin_service,14
2026-08-post-expansion,2026-08-11,Wales - West,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-12,Wales - West,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-14,Wales - West,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,Wales - West,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-16,Wales - West,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-17,Wales - West,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-11,Wales South - Cardiff & Vale,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-12,Wales South - Cardiff & Vale,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-14,Wales South - Cardiff & Vale,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,Wales South - Cardiff & Vale,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-16,Wales South - Cardiff & Vale,lookup_region,admin_service,1
