month,normalised_title,likely_family,total_count,days_seen,unique_companies,unique_locations,top_companies,top_locations,top_regions,example_titles
2026-06,dispensing optician assistant manager,unclassified,1,1,1,1,Specsavers (1),Newport Pagnell (1),Other / Unknown (1),Dispensing Optician Assistant Manager
2026-06,junior sales administrator,administrator_general,1,1,1,1,Adecco (1),Hull (1),Other / Unknown (1),Junior Sales Administrator
2026-06,administration associate,unclassified,1,1,1,1,Evlo (1),Trowbridge (1),Other / Unknown (1),Administration Associate
2026-06,compliance administrator,administrator_general,1,1,1,1,Building Recruitment Company (1),Bristol (1),Other / Unknown (1),Compliance Administrator
2026-06,engineering administrator automotive/plant,administrator_general,1,1,1,1,Ernest Gordon Recruitment Limited (1),Wolverhampton (1),Other / Unknown (1),Engineering Administrator (Automotive/Plant)
2026-06,department administrator,administrator_general,1,1,1,1,Adecco (1),Liverpool (1),Other / Unknown (1),Department Administrator
2026-06,governance administrator,administrator_general,1,1,1,1,Office Angels (1),Guildford (1),Other / Unknown (1),Governance Administrator
2026-06,medical administrator,administrator_general,1,1,1,1,Adecco (1),Bangor (1),Other / Unknown (1),Medical Administrator
2026-06,"hearing aid audiologist, st albans",unclassified,1,1,1,1,Leightons Opticians & Hearing Care (1),St. Albans (1),Other / Unknown (1),"Hearing Aid Audiologist, St Albans"
2026-06,"hearing aid audiologist, walsall",unclassified,1,1,1,1,Leightons Opticians & Hearing Care (1),Walsall (1),Other / Unknown (1),"Hearing Aid Audiologist, Walsall"
2026-06,"dispensing optician - winchester, hampshire - independent - up to 32k plus bonus",unclassified,1,1,1,1,Zest Optical (1),Winchester (1),Other / Unknown (1),"Dispensing Optician - Winchester, Hampshire - Independent - Up to 32K Plus Bonus"
2026-06,"optometrist - dolgellau, gwynedd - independent - up to 65k - no weekends",unclassified,1,1,1,1,Zest Optical (1),Dolgellau (1),Other / Unknown (1),"Optometrist - Dolgellau, Gwynedd - Independent - Up to 65K - No Weekends"
2026-06,optometrist - seaford - independent - 3 a week - up to 65k pro rata,unclassified,1,1,1,1,Zest Optical (1),Seaford (1),Other / Unknown (1),Part Time Optometrist - Seaford - Independent - 3 Days a Week - Up to 65K Pro Rata
2026-06,optometrist - bristol - up to £60k bonus relocation package,unclassified,1,1,1,1,Zest Optical (1),Bristol (1),Other / Unknown (1),Optometrist - Bristol - Up to £60K + Bonus + Relocation Package
2026-06,"contact lens optician/dispensing optician - long eaton, nottingham",unclassified,1,1,1,1,Zest Optical (1),Nottingham (1),Other / Unknown (1),"Part Time Contact Lens Optician/Dispensing Optician - Long Eaton, Nottingham"
2026-06,optical glazing technician- caerphilly - south wales,unclassified,1,1,1,1,Zest Optical (1),Caerphilly (1),Other / Unknown (1),Optical Glazing Technician- Caerphilly - South Wales
2026-06,optical assistant - head office role - luxury online eyewear retailer - bury,unclassified,1,1,1,1,Zest Optical (1),Bury (1),Greater Manchester (1),Optical Assistant - Head Office Role - Luxury Online Eyewear Retailer - Bury
