market,display_reference,title,decision,reason,salary_bucket,jobg8_classification,description_excerpt
Bristol & Bath,107786116,Credit Controller,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Accounting,"Credit Controller (Temporary) - Leatherhead<br><br><p>Location: Leatherhead (2 days per week in the office)<br> Contract: 3 months initially<br> Start Date: ASAP</p><p>We are currently recruiting for an experienced Credit Controller to join a busy finance team on an initial 3-month temporary contract.</p><p>This is an excellent opportunity for someone with a strong background in public sector credit control who can confidently ma click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?kjuUUj3TFp5AwGWbZXr3r0WoRdumAu58g"" width=""0"" height=""0"" />"
Bristol & Bath,107786032,Accounts Payable Clerk,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,Accounting,"<p>Robert Half Finance & Accounting are currently supporting a business based in Avonmouth who are looking for an Accounts Payable Clerk to join their friendly team for a period of 3-4 months. </p><p><strong>Role: </strong>Accounts Payable Clerk </p><p><strong>Location: </strong>Avonmouth</p><p><strong>Working hours & hybrid: </strong>37 click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?iZmgAWfngDydPpvmFp4cDAWGS4ne8Gz1f"" width=""0"" height=""0"" />"
Bristol & Bath,107799219,Credit Controller,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,Accounting,"<p> At Ayvens, progress starts with you. </p><p>Our ambitions to shape the future of sustainable mobility are powered by our talent. Join us, and get better with every move.</p><p><br /></p><p>Tremendous opportunity for a Credit Controller on a 12 month fixed term contract, to work in our established Bristol based Head Office, located in Emersons Green</p><p><br /></p><p>Credit Controls primary focus is on the collection of overdue balances, minimi click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?QHpHeWTcrP66av09z2Go6tSx70ShaAwVy"" width=""0"" height=""0"" />"
Bristol & Bath,23643_225517844,Credit control,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,Accounting,"<p><strong>Your New Company</strong>Hays are partnering with a well-established organisation to recruit a Senior Finance Assistant on a permanent basis. This organisation is recognised for its collaborative culture, supportive working environment, and commitment to delivering high-quality services within the public sector.Due to continued demand within the finance function, an opportunity has arisen for an experienced finance professional to join a busy and dedicated team, supporting the accurate management of income processes and financial administration.</p><p> </p><p><strong>Your New Role</strong>As a Senior Finance Assistant, you will play a key role in supporting the day-to-day operatio"
Bristol & Bath,107787388,Finance Business Partner,OUT_SPECIALIST,specialist/senior title boundary,"£40k–£45,000",Banking & Financial Services,"<p><strong>Finance Business Partner - Bristol & Weston Hospitals Charity</strong></p><p>Are you <strong>looking to take the next step in your finance career?</strong> Do you enjoy month-end reporting but want greater exposure to budgeting, forecasting and business partnering?</p><p>Robert Half is delighted to be partnering with <strong>Bristol & Weston Hospitals Charity</strong> in the search for a Finance Business Partner to join their collaborative finance team click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?eq2PR%2bX5ctzcjvEBezabnvIF33W5VNfap"" width=""0"" height=""0"" />"
Bristol & Bath,107807687,Accounts Payable Team Lead,BORDERLINE,description-led family signal needs advert review,£30k–£40k,Accounting,"Accounts Payable Team Leader (Polish Speaking) £32,000 - £37,000 Chipping Sodbury (Hybrid) Permanent Why join our client <p>Our client is a well-established international organisation with a collaborative culture and a genuine commitment to developing its people. They're investing in efficient finance operations, continuous improvement and creating an environment where people are trusted to mak click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?mDcEDJmYTbwkmJpRCotOFOJhE1rrDb1Zt"" width=""0"" height=""0"" />"
Bristol & Bath,107804118,Director of Finance - Operations,OUT_SPECIALIST,specialist/senior title boundary,missing/unknown,Banking & Financial Services,"SRT Marine Systems plc (SRT) is a market leader in the domain of international marine surveillance technology and systems. We are a respected, established, and an ambitious multi-national company headquartered in the UK with a global customer base.<br><br>The company has a worldwide impact in the marine sector by leading the next generation of maritime domain awareness technologies ""MDA"", products, and sy click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?1tcg6Aj2zazaYaOPbvjNc%2fk%2fuwgdS460b"" width=""0"" height=""0"" />"
Bristol & Bath,107736453,Payroll Manager,OUT_SPECIALIST,specialist/senior title boundary,"£40k–£45,000",Accounting,"<p>Payroll Manager</p><p><strong>12 Month Fixed Term Contract Up to £45,000 Bristol Hybrid Working</strong></p> The Company <p>Our client is a well-established, creative and commercially successful organisation with a portfolio of recognised consumer brands. They are passionate about delivering high-quality products and services, investing in their people and fostering a collaborative, supportive culture click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?iZmgAWfngDwnQcJFZRHE7KDqxTdAmrjEf"" width=""0"" height=""0"" />"
Bristol & Bath,107752954,Account Executive - Transport,OUT_SPECIALIST,specialist/senior title boundary,missing/unknown,Sales & Marketing,"<strong>Introduction</strong><br><br> Welcome to Gallagher - a global community of people who bring bold ideas, deep expertise, and a shared commitment to doing whats right. We help clients navigate complexity with confidence by empowering businesses, communities, and individuals to thrive. At Gallagher, youll find more than a job; youll find a culture built on trust, driven by collaboration, and sustained by the belief th click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?QHpHeWTcrP4gB1tp%2fwHFafwANXaVfyoey"" width=""0"" height=""0"" />"
Bristol & Bath,107547410,Account Manager,OUT_SPECIALIST,specialist/senior title boundary,£25k–£30k,Sales & Marketing,"<p><b>Location: Bradley Stoke </b></p><p><b>Salary: £32,500 + OTE </b></p><p><b>We are looking for an Account Manager to join our team in Bradley Stoke, you will be acting as the first point of contact for your customers, building strong business relationships and managing customer satisfaction.</b></p><p><b><b>Responsibilities: </b></b></p><p><b>Track and develop business opportunities with existing customers and generate new business leads for the Field Sales Exe.</b> . click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?eq2PR%2bX5ctyuNfeGAw%2fOfbXDUxt7g3TYp"" width=""0"" height=""0"" />"
