market,display_reference,title,decision,reason,salary_bucket,jobg8_classification,description_excerpt
London,1817592,IT Support Engineer,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,I.T. & Communications,"<p><strong>IT Support Engineer</strong></p> <p><strong>Business Intelligence Sector</strong></p> <p><strong>Up to 38K, depending on experience + benefits</strong></p> <p><strong>Permanent</strong></p> <p><strong>West End</strong></p> <p><strong>Hybrid</strong></p> <p><strong>3-IT/RvF</strong></p> <p></p> <p><strong>About the Client:</strong></p> <p>VWA is working with a highly respected international advisory firm that operates at the intersection of risk, strategy and intelligence. They are looking for a proactive IT Support Engineer to join the team.</p> <p><strong>About the IT Support Engineer role:</strong></p> <p>This is a hands-on IT Support Engineer role supporting employees across th"
London,1817383,IT Operations Analyst,BORDERLINE,description-led family signal needs advert review,£30k–£40k,I.T. & Communications,"<p><strong>IT Operations Analyst</strong></p> <p></p> <p><strong>Contract</strong>: Permanent</p> <p><strong>Hours</strong>: Full-time 35 hours per week</p> <p><strong>Salary</strong>: £31,539 starting salary p/a plus excellent benefits package</p> <p><strong>Location</strong>: London, Farringdon, minimum of 4 days in the office and out-of-hours support where required </p> <p></p> <p>Are you organised, detail-oriented and interested in building a career in IT operations? If so, this could be the role for you.</p> <p></p> <p>Alongside the interests and challenges of the role, we know that candidates also want to be enthused about the mission and values of the organisation they might be joinin"
London,1815293,1st/2nd Line IT Support- 3 month FTC,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,I.T. & Communications,"<p> We have a great opportunity for an experienced 1st/2nd line IT Support Analyst to join a fashion retailer at its London office, on a Fixed Term Contract basis.<b></b>This is a fantastic opportunity to work as part of a small, hands-on IT team, providing support to colleagues across the business from the company's offices based in the Islington area of London. This a hybrid role with 3 days office based. </p> <p> The successful candidate will provide 1st and 2nd line technical support to both the office-based team and various retail sites, ensuring a responsive and high-quality service across the company. You will be responsible for incident management, service request fulfilment, end-use"
London,1815565,IT Technician,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,I.T. & Communications,"<p><strong>IT Technician / IT Support Technician</strong></p> <p></p> <p><strong>£26,000 to £29,000 + Further Training + 34 Days Holiday + Enhanced Pension scheme + Career Progression + Benefits</strong></p> <p></p> <p><strong>Hybrid Role - North-East London</strong></p> <p></p> <p>Excellent opportunity for an IT Technician to join a prestigious Schools Trust in a stable environment offering a varied and interesting day-to-day role and long term progression opportunities.</p> <p></p> <p>This organisation are expanding and are looking to recruit an IT Technician to join their friendly and welcoming team, who are focussed on transforming education in the local community.</p> <p></p> <p>In this"
London,1815425,2nd/3rd Line IT Support,LIKELY_IN,family title is a strong inclusion signal,"£40k–£50,000",I.T. & Communications,"<p><strong>Job Title: 2nd/3rd Line IT Support</strong><strong><br /></strong><strong>Location: </strong><strong>Canary Wharf, London - in office one day per week<br /></strong><strong>Salary: </strong><strong>£40,000 to £48,000<br /></strong><strong>Benefits: Excellent </strong><strong>Pension, 25 days holiday rising to 30 days after 12 months, Healthcare, Bonus</strong></p> <p>This is a fantastic opportunity for an experienced 2/3 line infrastructure engineer that has worked for a small company previously to join a non-profit organisation based in Canary Wharf.</p> <p>This is an exciting role in the Financial Sector. They enjoy the rare ability to make a difference in a small, tight-knit an"
London,1813888,Field Deployment IT Engineer,BORDERLINE,title needs advert-context review,missing/unknown,I.T. & Communications,"<p>Through continued growth they are looking to recruit a two Field Deployment Engineers one to cover the Northern Territory and the other to cover Midlands Territory.</p> <p>Engineer.</p> <p>In this role you will provide dedicated technical deployment support to the wider Field Service Department, delivering planned technology refreshes and infrastructure lifecycle activities across the installed analyser base.</p> <p>The role will be responsible for executing field-based activities including Windows operating system upgrades, security patch remediation, system reimaging, IT hardware replacement, software installation and configuration, data migration, and system validation. Working closely"
London,1814732,3rd Line Support engineer - Hybrid,BORDERLINE,title needs advert-context review,missing/unknown,I.T. & Communications,"<p><strong>Solutions Engineer - Infrastructure & 3rd Line</strong></p> <p><strong>London Hybrid Working Managed IT Services</strong></p> <p>Our client is a fast-growing <strong>Managed IT Services Provider specialising in the creative industry</strong>, supporting more than <strong>5,000 users across 100+ businesses</strong> from its London base.</p> <p>With a strong reputation for quality, technical expertise and exceptional client service, the business is continuing to grow and is looking for an experienced <strong>Solutions Engineer</strong> to join its engineering team.</p> <p>This is an excellent opportunity for a senior infrastructure professional who enjoys getting hands-on with compl"
London,1813679,2nd Line Helpdesk Engineer,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,I.T. & Communications,"<p>We are currently looking for a skilled <strong>Level 2 Helpdesk Technician</strong> to join a dynamic and growing IT services organisation. This is an excellent opportunity to work in a fast-paced environment supporting a diverse client base across multiple platforms and technologies.</p> <p></p> <p><strong>The Role:</strong></p> <p>As a Level 2 Helpdesk Technician, you will provide remote and on-site technical support to end users. You will troubleshoot, diagnose, and resolve a wide range of IT issues, escalating more complex problems when necessary. Your focus will be on delivering excellent customer service while ensuring systems run efficiently and reliably.</p> <p></p> <p><strong>Key"
London,1813402,Infrastructure Engineer,OUT_SALARY,"annualised salary exceeds £50,000",">£50,000 OUT",I.T. & Communications,"<p><strong>MERITUS</strong> are recruiting for an <strong>Infrastructure & Cloud Engineer</strong> to join a large Technology Consultancy, supporting secure hybrid infrastructure and Microsoft Azure environments across UK Government customers.</p> <p><strong>INFRASTRUCTURE & CLOUD ENGINEER - Up to £65,000 - REMOTE (UK) - ACTIVE SC CLEARANCE REQUIRED</strong></p> <p>We're looking for an experienced Infrastructure & Cloud Engineer with a strong Microsoft background to support and improve enterprise infrastructure across on-premise and Azure environments. This is a hands-on role offering the opportunity to work with modern cloud technologies, automation tools and Microsoft 365 services while su"
London,1811007,IT 1st Line Helpdesk Support Engineer,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,I.T. & Communications,"<p><strong>1st Line Helpdesk / IT Support Engineer</strong><strong><br /></strong><strong>Join a well-established MSP where your career can grow</strong> </p><p></p> <p>DPSYSTEMS is an established IT Managed Service Provider with over 35 years of experience delivering outstanding technology solutions and support to businesses across the UK.</p> <p>We're a close-knit team of 16 technology professionals who pride ourselves on building long-term relationships with our customers, delivering exceptional service, and creating an environment where our staff can develop and succeed.</p> <p>As we continue to grow, we are looking for an enthusiastic and customer-focused <strong>1st Line Helpdesk / IT "
London,1810177,School IT Technician,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,I.T. & Communications,"<p><strong>School IT Technician - Welling - £30K</strong></p> <p></p> <p>A School IT Technician is required by a UK Leading MSP to support two sites near Welling. The School IT Technician will have strong networking, windows (10/11) and previous IT support experience working in schools, maintaining and troubleshooting a range of IT systems and networks.</p> <p></p> <p>As the IT School Technician, you must hold a valid DBS check due to the nature of the work across educational environments.</p> <p></p> <p><strong>Key Skills & Experience Required</strong></p> <ul> <li>Previous IT Support experience in schools is essential</li> <li>Excellent experience with windows 10/11, Active Directory, Grou"
London,1810141,School IT Support Technician,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,I.T. & Communications,"<p><strong>School IT Support Technician - Orpington - £30K</strong></p> <p></p> <p>A School IT Technician is required by a UK Leading MSP to support schools near Orpington. The School IT Technician will have strong networking, windows (10/11) and previous IT support experience working in schools, maintaining and troubleshooting a range of IT systems and networks.</p> <p></p> <p>The School IT Support Technician will undergo an enhanced DBS check.</p> <p></p> <p><strong>Key Skills & Experience Required</strong></p> <ul> <li>Previous IT Support experience in schools is essential</li> <li>Excellent experience with windows 10/11, Active Directory, Group Policy and Office 365</li> <li>Proficient n"
