month,region,region_scope,category,existing_live_page,recommendation,recommendation_reason,total_jobs,feed_days,days_seen,seen_ratio_pct,average_daily_count,minimum_daily_count,maximum_daily_count,days_with_6_plus,days_with_12_plus,first_five_day_average,last_five_day_average,direction_change_pct,decline_type,decline_explanation,unique_title_count,unique_company_count,unique_location_count,top_titles,top_companies,top_1_company_share_pct,top_2_company_share_pct,concentration_risk,credible_slice,manual_review_pilot
2026-07,"Dumfries & Galloway, Scotland",lookup_region,broader_office_administration,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,2,14,14,100.0,1.07,1,2,0,0,1.0,1.0,0.0,no_meaningful_decline,,2,2,2,Care Home Administrator (14); Fleet Service Administrator (1),Park Homes (UK) Limited (14); Currie European Transport Limited (1),93.3,100.0,HIGH,False,False
2026-07,Bristol & Bath,lookup_region,care_assistant_healthcare_assistant,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,2,14,14,100.0,1.07,1,2,0,0,1.2,1.0,-16.7,no_meaningful_decline,,2,2,1,Live-In Personal Care Assistant to a Cyber Security Uni student (14); Live In Care Worker (1),Ask Jules (14); Alina Homecare (1),93.3,100.0,HIGH,False,False
2026-07,Gloucestershire,lookup_region,care_assistant_healthcare_assistant,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,2,14,14,100.0,1.07,1,2,0,0,1.2,1.0,-16.7,no_meaningful_decline,,2,2,2,Community Healthcare Assistant (14); Care Assistant - Bank - Care Home (1),Sky Vigil Care (14); Barchester Healthcare (1),93.3,100.0,HIGH,False,False
2026-07,Lincolnshire,lookup_region,care_assistant_healthcare_assistant,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,3,14,10,71.4,1.07,0,2,0,0,1.6,1.0,-37.5,mainly_large_campaigns_disappearing,Top early advertiser(s) Comfort Call Limited account for approximately 100% of the measured decline.,1,2,3,Care Assistant (15),Comfort Call Limited (10); Avon Search & Selection Ltd (5),66.7,100.0,HIGH,False,False
2026-07,Yorkshire - South,lookup_region,care_assistant_healthcare_assistant,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; mainly large campaigns disappearing,3,14,10,71.4,1.07,0,2,0,0,1.6,1.0,-37.5,mainly_large_campaigns_disappearing,"Top early advertiser(s) The Human Support Group Limited, Comfort Call Limited account for approximately 100% of the measured decline.",2,3,3,Care Assistant (10); Health care assistant - Sheffield (5),The Human Support Group Limited (5); Comfort Call Limited (5); Sensecare Limited (5),33.3,66.7,MEDIUM,False,False
2026-07,Dorset,lookup_region,residential_childcare_children_support,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,2,14,12,85.7,1.07,0,2,0,0,1.0,1.0,0.0,no_meaningful_decline,,1,1,2,Residential Childcare Support Worker (15),Budwood (15),100.0,100.0,HIGH,False,False
2026-07,Wales - West,lookup_region,care_assistant_healthcare_assistant,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,4,14,7,50.0,1.07,0,3,0,0,2.0,0.4,-80.0,mainly_large_campaigns_disappearing,"Top early advertiser(s) MiHomecare Limited, City & County Healthcare account for approximately 100% of the measured decline.",2,3,2,Care Assistant (13); Care Worker (2),MiHomecare Limited (10); City & County Healthcare (3); Care Cymru (2),66.7,86.7,HIGH,False,False
2026-07,Berkshire,lookup_region,residential_childcare_children_support,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,3,14,9,64.3,1.0,0,2,0,0,0.4,2.0,400.0,no_meaningful_decline,,3,2,3,Youth Support Worker - Maidenhead (7); Youth Support Worker - Wokingham (5); Residential Child Care worker (2),Academics (12); Positive Footsteps (2),85.7,100.0,HIGH,False,False
2026-07,Derbyshire,lookup_region,broader_office_administration,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,2,14,14,100.0,1.0,1,1,0,0,1.0,1.0,0.0,no_meaningful_decline,,2,2,2,Experienced Pensions Administrator Police & Fire Team (Hybrid or Rem (8); Customer Relations Administrator (6),Local Pensions Partnership (8); Hiring People (6),57.1,100.0,HIGH,False,False
2026-07,Lancashire - North,lookup_region,broader_office_administration,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,1,14,14,100.0,1.0,1,1,0,0,1.0,1.0,0.0,no_meaningful_decline,,1,1,1,School Administrator (14),Reed (14),100.0,100.0,HIGH,False,False
2026-07,Scotland Central - Falkirk & Stirling,lookup_region,broader_office_administration,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,1,14,14,100.0,1.0,1,1,0,0,1.0,1.0,0.0,no_meaningful_decline,,1,1,1,Administrator (14),Reed (14),100.0,100.0,HIGH,False,False
2026-07,Wales South -gwent,lookup_region,care_assistant_healthcare_assistant,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,1,14,14,100.0,1.0,1,1,0,0,1.0,1.0,0.0,no_meaningful_decline,,1,1,1,Graduate Opportunity: Care Assistant to Business & Marketing Graduate (14),Ask Jules (14),100.0,100.0,HIGH,False,False
2026-07,Yorkshire - North,lookup_region,residential_childcare_children_support,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,1,14,14,100.0,1.0,1,1,0,0,1.0,1.0,0.0,no_meaningful_decline,,1,1,1,Childrens Residential Support Worker (14),SCR Recruitment Services (14),100.0,100.0,HIGH,False,False
2026-07,Greater Manchester - South,lookup_region,broader_office_administration,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,2,14,7,50.0,1.0,0,2,0,0,2.0,0.0,-100.0,mainly_large_campaigns_disappearing,"Top early advertiser(s) K3 Advisory Group, Adecco account for approximately 100% of the measured decline.",2,2,2,Pensions Administrator (7); Pension Administrator - New Business Team (7),K3 Advisory Group (7); Adecco (7),50.0,100.0,HIGH,False,False
2026-07,Merseyside - Sefton,lookup_region,care_assistant_healthcare_assistant,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,2,14,13,92.9,0.93,0,1,0,0,0.8,1.0,25.0,no_meaningful_decline,,2,2,1,Complex Care Assistant (8); Care Assistant (5),Routes Healthcare (North) (8); Comfort Call Limited (5),61.5,100.0,HIGH,False,False
2026-07,Wales South - Cardiff & Vale,lookup_region,residential_childcare_children_support,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,1,14,13,92.9,0.93,0,1,0,0,0.8,1.0,25.0,no_meaningful_decline,,1,1,1,Youth support worker (13),Teaching Personnel (13),100.0,100.0,HIGH,False,False
2026-07,Cumbria - West,lookup_region,care_assistant_healthcare_assistant,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,2,14,8,57.1,0.93,0,2,0,0,1.8,0.0,-100.0,mainly_large_campaigns_disappearing,"Top early advertiser(s) Alcedo Care, The Human Support Group Limited account for approximately 100% of the measured decline.",2,2,2,Clinical Complex Care Assistant (8); Care Assistant (5),Alcedo Care (8); The Human Support Group Limited (5),61.5,100.0,HIGH,False,False
2026-07,Wiltshire,lookup_region,care_assistant_healthcare_assistant,no,WATCH,insufficient persistence; average below 6 jobs/day,6,14,7,50.0,0.86,0,4,0,0,1.2,1.2,0.0,no_meaningful_decline,,5,5,4,Community health care assistant (4); Night Care Assistant (3); Care Assistant (2); Peripatetic Care Assistant (2); Care Assistant - Bank - Care Home (1),Nurse Plus (4); Colten Care Limited (3); Alina Homecare (2); Crooton Ltd (2); Barchester Healthcare (1),33.3,58.3,MEDIUM,False,False
2026-07,Cheshire - East,lookup_region,broader_office_administration,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,2,14,12,85.7,0.86,0,1,0,0,1.0,1.0,0.0,no_meaningful_decline,,2,2,2,Financial Planning Administrator - Wilmslow (hybrid) - Basic to £30k + generous bonus (7); Assistant Company Secretary (5),MI Search Ltd (7); Michael Page Legal (5),58.3,100.0,HIGH,False,False
2026-07,North East - Tees Valley,lookup_region,care_assistant_healthcare_assistant,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,1,14,12,85.7,0.86,0,1,0,0,0.6,1.0,66.7,no_meaningful_decline,,1,1,1,Complex care assistant (12),Routes Healthcare (North) (12),100.0,100.0,HIGH,False,False
2026-07,North Wales - East,lookup_region,care_assistant_healthcare_assistant,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,3,14,11,78.6,0.86,0,2,0,0,1.0,1.0,0.0,no_meaningful_decline,,2,3,2,Care Assistant (6); Foster Carer - Housing Officer (6),Sanctuary Personnel (6); Abacare Limited (5); The Human Support Group Limited (1),50.0,91.7,HIGH,False,False
